department_gr,total,domestic_use,commercial_use,industrial_use,agricultural_use,pub_and_municipal_authorities,streeet_lighting,department_en
Έβρου,518528,199360,133417,81535,39722,53889,10605,Evros
Ξάνθης,438476,143359,103116,122926,39357,21399,8320,Xanthi
Ροδόπης,454735,136135,96131,135089,60417,22707,4257,Rodopi
Δράμας,358592,143789,99067,44148,53005,9413,9170,Drama
Καβάλας,638415,221304,176608,160200,44106,23687,12509,Kavala
Ημαθίας,548696,208907,140193,112125,59768,12137,15566,Imathia
Θεσσαλονίκης,4808564,1866820,1480420,1147985,89290,158604,65445,Thessaloniki
Κιλκίς,408157,107661,80800,158676,46133,10299,4588,Kilkis
Πέλλης,555177,191453,129863,108536,96026,15478,13821,Pella
Πιερίας,525398,191142,159439,101057,41225,20053,12481,Pieria
Σερρών,594950,243137,155635,94525,71243,18651,11760,Serres
Χαλκιδικής,644482,210071,236915,95724,52979,33767,15027,Chalkidiki
Γρεβενών,126254,40134,29986,32774,7719,11887,3755,Grevena
Καστοριάς,156276,72280,50166,9519,11037,9108,4166,Kastoria
Κοζάνης,495303,232658,126433,27387,44116,53385,11323,Kozani
Φλωρίνης,180895,67484,40278,23976,37488,6250,5418,Florina
Καρδίτσας ,415133,158935,93862,32556,104724,10496,14560,Karditsa
Λάρισας,1320695,387752,316759,217758,316180,61320,20927,Larissa
Μαγνησίας,1616857,319341,235341,931789,76528,34854,19004,Magnissia
Τρικάλων,470470,184710,134505,59521,63459,12509,15766,Trikala
Άρτας ,286290,122082,63552,26411,49133,13307,11806,Arta
Θεσπρωτίας,177558,62263,69602,6407,23733,8889,6663,Thesprotia
Ιωαννίνων,646856,215802,241957,127382,33460,17785,10470,Ioannina
Πρεβέζης,135894,54107,41078,7681,16158,11647,5223,Preveza
Ζακύνθου,183659,66377,93645,3553,654,9296,10134,Zakynthos
Κέρκυρας,451728,182331,227745,10622,1786,18637,10608,Kerkyra
Κεφαλληνίας,180358,70468,64846,19540,2512,18500,4492,Kefallinia
Λευκάδας,147538,51924,55659,8457,13037,14862,3599,Lefkada
Αιτωλίας και Ακαρνανίας,664020,296442,160890,50412,93989,45572,16715,Etolia and Akarnania
Αχαίας,1327192,522114,384012,285258,49327,55597,30885,Achaia
Ηλείας,514779,218187,134794,26737,89923,16183,28956,Ilia
Βοιωτίας,3728184,162350,133794,3246107,160638,14238,11057,Viotia
Εύβοιας,1379924,410304,279695,537786,95672,36523,19945,Evia
Ευρυτανίας,44258,21843,15990,634,854,3273,1664,Evritania
Φθιώτιδας,1926428,246269,161256,1343859,116391,32221,26430,Fthiotida
Φωκίδας,127587,55016,30859,16385,9019,11651,4656,Fokida
Αργολίδας,618049,228143,168514,55355,125200,25604,15233,Argolida
Αρκαδίας,332101,141276,96081,37459,27830,17577,11878,Arkadia
Κορινθίας ,805203,301143,195652,198550,62192,26637,21029,Korinthia
Λακωνίας,378185,149334,97348,22502,86111,12550,10339,Lakonia
Μεσσηνίας,543955,250822,184708,40086,28298,22993,17048,Messinia
Αττική,16226441,7476846,5590835,2141935,73851,718482,224493,Attiki
Λέσβου,334999,160184,101006,12733,12932,38408,9737,Lesvos
Σάμου,157578,72301,62257,3536,1306,14368,3809,Samos
Χίου,196359,102013,62649,5496,5692,15306,5204,Chios
Δωδεκανήσου,1099786,340893,640080,21726,8198,61059,27830,Dodekanissos
Κυκλάδων,585885,214892,270221,54398,10327,29285,6762,Kyklades
Ηρακλείου,1295239,444503,536087,120060,77943,98873,17773,Iraklio
Λασιθίου,367350,121054,158453,8816,46091,22624,10312,Lassithi
Ρεθύμνης,339753,112490,148995,28088,16722,27733,5723,Rethymno
Χανίων,689186,254386,291121,36456,33952,58877,14393,Chania
